masked_phrase|word|distractor1|distractor2|distractor3
"""Today, I consider myself the [MASK] man on the face of the earth."" - Pride of the Yankees (1942)"|luckiest|bravest|greatest|richest
"""If you [MASK] it, he will come."" - Field of Dreams (1989)"|build|plant|buy|name
"""Life was like a box of [MASK]."" - Forrest Gump (1994)"|chocolates|cookies|toys|cards
"""We [MASK] banks."" - Bonnie and Clyde (1967)"|rob|own|hate|like
"""[MASK]."" - The Graduate (1967)"|Plastics|Diamonds|Engines|Stocks
"""We'll always have [MASK]."" - Casablanca (1942)"|Paris|Berlin|Memory|Love
"""I see [MASK] people."" - The Sixth Sense (1999)"|dead|old|ghost|scary
"""Don't let's ask for the moon. We have the [MASK]."" - Now, Voyager (1942)"|stars|night|earth|love
"""[MASK]. Come back!"" - Shane (1953)"|Shane|Buddy|Johnny|Cowboy
"""Well, [MASK] perfect."" - Some Like It Hot (1959)"|nobody's|no one|everyone's|life's
"""It's [MASK]!"" - Frankenstein (1931)"|alive|awake|moving|born
"""Houston, we have a [MASK]."" - Apollo 13 (1995)"|problem|situation|leak|crisis
"""Do I feel [MASK]? Well, do ya, punk?"" - Dirty Harry (1971)"|lucky|brave|tough|happy
"""You had me at '[MASK].'"" - Jerry Maguire (1996)"|hello|first|goodbye|money
"""I shot an [MASK] in my pajamas."" - Animal Crackers (1930)"|elephant|ostrich|tiger|hippo
"""There's no [MASK] in baseball!"" - A League of Their Own (1992)"|crying|losing|quitting|fighting
"""A boy's best [MASK] is his mother."" - Psycho (1960)"|friend|asset|secret|weapon
"""[MASK], for lack of a better word, is good."" - Wall Street (1987)"|Greed|Money|Power|Profit
"""Keep your [MASK] close, but your enemies closer."" - The Godfather Part II (1974)"|friends|allies|brothers|money
"""As [MASK] is my witness, I'll never be hungry again."" - Gone with the Wind (1939)"|God|Heaven|Earth|Man
"""Well, here's another nice [MASK] you've gotten me into!"" - Sons of the Desert (1933)"|mess|trap|jam|spot
"""Say 'hello' to my [MASK] friend!"" - Scarface (1983)"|little|noisy|metal|secret
"""What a [MASK]."" - Beyond the Forest (1949)"|dump|mess|house|joke
"""Mrs. Robinson, you're trying to [MASK] me."" - The Graduate (1967)"|seduce|trick|help|kill
"""Gentlemen, you can't fight in here! This is the [MASK] Room!"" - Dr. Strangelove (1964)"|War|Peace|Lunch|Map
"""Elementary, my dear [MASK]."" - The Adventures of Sherlock Holmes (1939)"|Watson|Arthur|Wilson|Holmes
"""Take your stinking [MASK] off me, you damned dirty ape."" - Planet of the Apes (1968)"|paws|hands|fingers|claws
"""Of all the gin [MASK] in all the towns..."" - Casablanca (1942)"|joints|bars|clubs|halls
"""Here's [MASK]!"" - The Shining (1980)"|Johnny|Danny|Killer|Jack
"""They're [MASK]!"" - Poltergeist (1982)"|here|back|coming|inside
"""Is it [MASK]?"" - Marathon Man (1976)"|safe|true|over|ready
"""You ain't [MASK] nothin' yet!"" - The Jazz Singer (1927)"|heard|seen|known|done
"""No wire [MASK], ever!"" - Mommie Dearest (1981)"|hangers|cables|fences|brushes
"""Mother of [MASK], is this the end of Rico?"" - Little Caesar (1930)"|mercy|God|grace|sorrow
"""Forget it, Jake, it's [MASK]."" - Chinatown (1974)"|Chinatown|business|over|nothing
"""I have always depended on the [MASK] of strangers."" - A Streetcar Named Desire (1951)"|kindness|money|mercy|help
"""Hasta la vista, [MASK]."" - Terminator 2: Judgment Day (1991)"|baby|friend|loser|buddy
"""Soylent Green is [MASK]!"" - Soylent Green (1973)"|people|poison|plants|algae
"""Open the pod bay [MASK], HAL."" - 2001: A Space Odyssey (1968)"|doors|gates|locks|vents
"""Don't call me [MASK]."" - Airplane! (1980)"|Shirley|Surely|Honey|Pilot
"""Yo, [MASK]!"" - Rocky (1976)"|Adrian|Mickey|Apollo|Paulie
"""Hello, [MASK]."" - Funny Girl (1968)"|gorgeous|beautiful|darling|sunshine
"""Children of the [MASK]. What music they make."" - Dracula (1931)"|night|dark|grave|moon
"""It was Beauty killed the [MASK]."" - King Kong (1933)"|Beast|Gorilla|King|Heart
"""My [MASK]."" - The Lord of the Rings: The Two Towers (2002)"|precious|darling|treasure|gold
"""You've got to come back a [MASK]!"" - 42nd Street (1933)"|star|winner|hero|pro
"""You're my [MASK] in shining armor."" - On Golden Pond (1981)"|knight|hero|king|prince
"""Win just one for the [MASK]."" - Knute Rockne| All American (1940)"|Gipper|Coach|Team|School
"""A martini. Shaken, not [MASK]."" - Goldfinger (1964)"|stirred|mixed|poured|frozen
"""Who's on [MASK]."" - The Naughty Nineties (1945)"|first|second|home|third
"""It's in the [MASK]!"" - Caddyshack (1980)"|hole|cup|trap|grass
"""Life is a [MASK], and most poor suckers are starving."" - Auntie Mame (1958)"|banquet|party|circus|game
"""I feel the need — the need for [MASK]!"" - Top Gun (1986)"|speed|power|flight|victory
"""[MASK] diem. Seize the day, boys."" - Dead Poets Society (1989)"|Carpe|Magna|Vive|Bono
"""[MASK] out of it!"" - Moonstruck (1987)"|Snap|Get|Wake|Break
"""My [MASK] thanks you. My father thanks you..."" - Yankee Doodle Dandy (1942)"|mother|brother|country|teacher
"""Nobody puts [MASK] in a corner."" - Dirty Dancing (1987)"|Baby|Penny|Johnny|Dancer
"""I'll get you, my [MASK], and your little dog, too!"" - The Wizard of Oz (1939)"|pretty|lovely|lady|darling
"""I'm [MASK] of the world!"" - Titanic (1997)"|king|master|lord|owner
"""The only way to achieve the impossible, is to [MASK] it is possible."" - Alice in Wonderland (2010)"|believe|hope|wish|dream
"""Perfection is not just about control; it's also about [MASK] go."" - Black Swan (2010"|letting|giving|making|turning
"""[MASK] the Kraken!"" - Clash of the Titans (2010)"|Release|Find|Kill|Wake
"""Dobby never meant to kill; Dobby only meant to [MASK] or seriously injure."" - Harry Potter and the Deathly Hallows: Part 1 (2010)"|maim|hurt|scare|trip
"""While other places have ponies or parrots, we have [MASK]."" - How to Train Your Dragon (2010)"|dragons|monsters|vikings|wolves
"""Once an [MASK] has taken hold of the brain, it's almost impossible to eradicate."" - Inception (2010)"|idea|image|itch|ache
"""Machete don't [MASK]."" - Machete (2010)"|text|call|tweet|smile
"""Which would be worse—to live as a monster, or to die as a [MASK] man?"" - Shutter Island (2010)"|good|brave|free|sane
"""A guy who builds a nice [MASK] doesn’t owe money to everyone who ever has built a chair."" - The Social Network (2010)"|chair|house|table|bench
"""A million dollars isn't cool; you know what's cool? A [MASK] dollars."" - The Social Network (2010)"|billion|trillion|zillion|thousand
"""Sunnyside is ruled by an evil bear who smells of [MASK]!"" - Toy Story 3 (2010)"|strawberries|honey|flowers|cinnamon
"""I'm gonna [MASK] that like a tree."" - Bridesmaids (2011)"|climb|jump|hug|stab
"""You are more beautiful than [MASK]!"" - Bridesmaids (2011)"|Cinderella|Snow White|Barbie|Venus
"""You give me a time and a place, I give you a five minute [MASK]."" - Drive (2011)"|window|break|chance|limit
"""Fear of offending can be stronger than the fear of [MASK]."" - The Girl With the Dragon Tattoo (2011)"|pain|death|truth|failure
"""Once more into the [MASK]."" - The Grey (2011)"|fray|dark|cold|wild
"""You is [MASK], you is smart, you is important."" - The Help (2011)"|kind|brave|pretty|strong
"""If you’ve ever wondered where your [MASK] come from, this is where they’re made."" - Hugo (2011)"|dreams|movies|clocks|stories
"""My [MASK] is called the Constitution of United States of America."" - The Ides of March (2011)"|religion|honor|belief|party
"""A gentleman allows a lady to maintain her [MASK]."" - Pirates of the Caribbean: On Stranger Tides (2011)"|fictions|secrets|dignity|jewelry
"""That's my secret, Captain: I'm always [MASK]."" - (Marvel's) The Avengers (2012)"|angry|ready|tired|hungry
"""A [MASK] can be anyone."" - The Dark Knight Rises (2012)"|hero|legend|leader|villain
"""Gentlemen, you had my curiosity; now you have my [MASK]."" - Django Unchained (2012)"|attention|respect|money|loyalty
"""It is the small things, everyday deeds of ordinary folk that keeps the [MASK] at bay."" - The Hobbit: An Unexpected Journey (2012)"|darkness|enemy|evil|shadow
"""[MASK] is the only thing stronger than fear."" - The Hunger Games (2012)"|Hope|Love|Truth|Faith
"""May the [MASK] be ever in your favor."" - The Hunger Games (2012)"|odds|luck|scores|gods
"""I suppose, in the end, the whole of life becomes an act of [MASK] go."" - Life of Pi (2012)"|letting|giving|making|turning
"""To [MASK] another person is to see the face of God."" - Les Miserables (2012)"|love|help|save|know
"""We accept the love we think we [MASK]."" - The Perks of Being a Wallflower (2012)"|deserve|want|need|find
"""Every now and then a [MASK] has to be pulled."" - Skyfall (2012)"|trigger|lever|string|weight
"""I don't want to survive; I want to [MASK]."" - 12 Years A Slave (2012)"|live|thrive|escape|reign
"""I'm the [MASK] now."" - Captain Phillips (2013)"|captain|boss|master|leader
"""Some people are worth [MASK] for."" - Frozen (2013)"|melting|dying|waiting|fighting
"""All the bright precious things [MASK] so fast."" - The Great Gatsby (2013)"|fade|break|die|burn
"""Failure is the [MASK] through which we glimpse triumph."" - Iron Man 3 (2013)"|fog|glass|door|lens
"""A wise man gets more from his [MASK] than a fool from his friends."" - Rush (2013)"|enemies|failures|books|teachers
"""The needs of the [MASK] outweigh the needs of the few."" - Star Trek Into Darkness (2013)"|many|mostly|world|future
"""There is no [MASK] in poverty."" - The Wolf of Wall Street (2013)"|nobility|shame|grace|comfort
"""When you pray for rain, you gotta deal with the [MASK] too."" - The Equalizer (2014)"|mud|storm|cold|wet
"""Ideals are peaceful; [MASK] is violent."" - Fury (2014)"|history|reality|nature|war
"""Sometimes it's the very people who no one imagines anything of who do the things that no one can [MASK]."" - The Imitation Game (2014)"|imagine|predict|prevent|believe
"""Once you're a parent, you're the [MASK] of your children's future."" - Interstellar (2014)"|ghost|guide|memory|shadow
"""Not quite my [MASK]."" - Whiplash (2014)"|tempo|style|rhythm|speed
"""There are no two words in the English language more harmful than '[MASK] job.'"" - Whiplash (2014)"|good|nice|bad|great
"""I don't have friends, I got [MASK]."" - Furious 7 (2015)"|family|brothers|loyalty|crew
"""Oh, what a day! What a [MASK] day!"" - Mad Max: Fury Road (2015)"|lovely|glorious|mad|brave
"""I'm gonna have to [MASK] the s--t outta this."" - The Martian (2015)"|science|math|work|fight
"""Language is the [MASK] of civilization."" - Arrival (2016)"|foundation|barrier|glue|weapon
"""[MASK] is a setting on the dryer."" - Suicide Squad (2016)"|Normal|Perfect|Heat|Easy
"""In this business, the moment you catch [MASK] is the moment you catch a bullet."" - Baby Driver (2017)"|feelings|cold|germs|dreams
"""Sometimes to love someone, you gotta be a [MASK]."" - Blade Runner 2049 (2017)"|stranger|ghost|memory|hero
"""Sink into the [MASK]."" - Get Out (2017)"|floor|dark|ground|sleep
"""The hardest choices require the strongest [MASK]."" - Avengers: Infinity War (2018)"|wills|minds|hearts|souls
"""In times of crisis, the wise build [MASK], while the foolish build barriers."" - Black Panther (2018)"|bridges|walls|houses|cities
"""Assume everyone will [MASK] you, and you will never be disappointed."" - Solo: A Star Wars Story (2018)"|betray|love|follow|help
"""No amount of [MASK] ever bought a second of time."" - Avengers: Endgame (2019)"|money|gold|fame|power
"""Uh... [MASK]?""" - Sonic the Hedgehog (2020)|meow|woof|squeak|moo
